Model,Train_Time_s,Precision,Recall,F1,AUC_ROC
IsolationForest,0.352,0.9128,0.5528,0.6886,0.9399
OneClassSVM,0.0028,0.95,0.9366,0.9433,0.9629
LocalOutlierFactor,0.0052,0.9464,0.7465,0.8346,0.918
